序号,ID,商品,现价,原价,商品网址,店铺,店铺网址,图片网址,数量,分类,rule_id,seller_id,app_id,application_id,sid
1,524539521971,大喜 真毛领90绒羽绒服,648.00,1212.00,//item.taobao.com/item.htm?id=524539521971,大喜自制复古女装,//shop73319344.taobao.com/,//gw.alicdn.com/bao/uploaded/TB1POXWKVXXXXXiaXXXSutbFXXX.jpg,8273,nvzhuang,-1,704298669,5344260995944,5344260995944,238765
2,524260420108,长款过膝羽绒服貉子大毛领,299.00,1299.00,//item.taobao.com/item.htm?id=524260420108,KMZI,//shop72037993.taobao.com/,//gw.alicdn.com/bao/uploaded/TB1oz9QKFXXXXaCXFXXSutbFXXX.jpg,9297,nvzhuang,-1,891295387,5270847095944,5270847095944,238765
3,524854634320,笑涵阁双排扣双面羊毛大衣,589.00,985.00,//item.taobao.com/item.htm?id=524854634320,笑涵阁,//shop33375831.taobao.com/,//gw.alicdn.com/bao/uploaded/TB1UIu7KVXXXXc2aXXXSutbFXXX.jpg,562,nvzhuang,-1,17358122,5451725465944,5451725465944,238765
4,524772818002,狐狸毛领长款过膝羽绒服女,328.00,1388.00,//item.taobao.com/item.htm?id=524772818002,【bob定制】,//shop62439637.taobao.com/,//gw.alicdn.com/bao/uploaded/TB14raDKVXXXXXCXVXXSutbFXXX.jpg,9996,nvzhuang,-1,471594703,5333364085944,5333364085944,238765
5,524421475318,欧美大翻领中长款毛呢大衣,181.30,323.75,//item.taobao.com/item.htm?id=524421475318,凶猛熊猫欧美,//shop36450860.taobao.com/,//gw.alicdn.com/bao/uploaded/TB13x.GKFXXXXcCXFXXSutbFXXX.jpg,27174,nvzhuang,-1,136781748,5340309725944,5340309725944,238765
6,524493044746,livas高端羊皮羽绒服,1990.00,3980.00,//item.taobao.com/item.htm?id=524493044746,LIVAS,//shop33009450.taobao.com/,//gw.alicdn.com/bao/uploaded/TB1L_1TKFXXXXc7XFXXSutbFXXX.jpg,229,nvzhuang,-1,21411712,5275748595944,5275748595944,238765
7,524331435360,浪漫冬日 定制款品质毛衫,289.00,568.00,//item.taobao.com/item.htm?id=524331435360,优慕伊.美丽家,//shop35727946.taobao.com/,//gw.alicdn.com/bao/uploaded/TB1JniCKFXXXXbKXFXXSutbFXXX.jpg,770,nvzhuang,-1,79444698,5265087155944,5265087155944,238765
8,524726810612,时尚廓形超厚圈圈绒连衣裙,820.00,1640.00,//item.taobao.com/item.htm?id=524726810612,戎美高端女装,//shop33558160.taobao.com/,//gw.alicdn.com/bao/uploaded/TB1X95UKVXXXXbZapXXSutbFXXX.jpg,1753,nvzhuang,-1,35199816,5451003555944,5451003555944,238765
9,524130355446,云上连帽毛领长款羽绒服,499.00,1152.00,//item.taobao.com/item.htm?id=524130355446,云上生活,//shop36716916.taobao.com/,//gw.alicdn.com/bao/uploaded/TB1YEe3KVXXXXbrXVXXSutbFXXX.jpg,23,nvzhuang,-1,39501878,5287927025944,5287927025944,238765
10,524514557452,毛菇小象貉子毛领羽绒服,488.00,999.00,//item.taobao.com/item.htm?id=524514557452,毛菇小象,//shop64185146.taobao.com/,//gw.alicdn.com/bao/uploaded/TB1YETlKFXXXXaSaXXXSutbFXXX.jpg,1803,nvzhuang,-1,479184430,5296829845944,5296829845944,238765
